hotel,cafe_da_manha_incluido,piscina,spa,pesca,ar_condicionado,merguho,trilha_a_pe,hidromassagem,wifi_gratuito,recarga_veiculo_eletrico,academia,pets,cadeira_de_rodas,banheira,praia,sauna,vista_para_o_mar,servico_de_quarto,jacuzzi,com_rstaurante,estacionamento
flat mandai cabo frio,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flat em cabo frio,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apartamento praia do peró,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casa maravilhosa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apartamento braga,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casa verde,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apart hotel praia do pero,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pousada estalage,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mandai apart,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mandai apartamentos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casa gorete praia das dunas residence club,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apartamento espetacular com clube privativo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charmoso e confortável 1 quarto/frente mar mandai / inicio da praia do forte cf07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apto na praia do forte,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotel marlen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mdj suítes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cobertura duplex algodoal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pier beach club,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soul do mar hostel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sobrado com hidromassagem,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joneson aluga quitinete próximo a praia do forte até 4 pessoas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casa boutique peró,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pousada hosp cantinho de minas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
summer dream,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casa duplex nas dunas do peró,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cobertura climatizada, spa no litoral",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"vista mar, duplex a 20 mts praia do forte, jacuzzi e wifi",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
residencial pacific,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
confortável cobertura em cabo frio,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mandai flat 412,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
excelente cobertura duplex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
casa de praia em cabo frio até 12 hospedes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cabo frio familiar toca de gente feliz,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
casa da ogiva,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
apartamento 02 quartos na praia do forte cabo frio,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mandai apartamento cabo frio,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
duplex na orla da praia do forte com hidro e wifi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cobertura duplex na praia do forte.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
perohouse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mansão mirante!!!,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
praia do forte cabo frio aluguel econômico,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cabo frio jardim caiçara aluguel econômico,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pousada alvorecer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
praia do forte 3 min a pé 3 qtos churrasqueira wi fi tv a cabo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
paradiso peró praia hotel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
casa do braga,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
excelente coração de cabo frio,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
casa temporada 10 minutos da praia e comércio,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edificio caminho do sol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
linda casa em arraial do cabo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
casa top arraial,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
casa bardot,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pousada santorini,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pousada gente bonita la mansion,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pousada gente bonita mirante,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
praia do forte alto luxo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
maravilhoso apartamento temporada cabo frio são pedro da aldeia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
flat edifício royale 305,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mandai 02 suítes apt 101 mc temporadas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
flat aconchegante edifício royale cabo frio passagem praia do forte,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
flat luxo no hotel samba cabo frio,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mandai 01 suíte apt 420 mc temporadas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
suite 306 b hotel residencial mandai,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mandai apart lateral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ap braga/cabo frio,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pousada coqueiros,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"a 100 m praia do forte cabo frio, 2 quartos, ar condicionado,cozinha completa!",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
suites para casais na praça oswaldo cruz,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
casa ampla cabo frio ogiva,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
